id	filename	md5	size	state
7e742bb3-72b5-499b-837a-9f726d411505	TCGA-24-1567-01A-01-TS1.09e67e5f-318c-42e7-a0bf-b00fc7f85356.svs	90b02393ea1a3ce9536016e88fbb1b43	131467519	released
94a687f7-07d6-45c0-9e8c-a00bad2665db	TCGA-10-0926-01A-01-TS1.81702be2-0c3a-4469-9a63-c74a08cc04f5.svs	7ee25b085f3fbf5ed19d914e69378cf2	44703535	released
0033d3ce-8084-4d04-9d78-fc971d54ad67	TCGA-04-1338-01A-01-TS1.33f6254c-7df6-4570-b2df-1dde268a9d64.svs	74a71d4c0cf349b5211a8e2a3dfd7c0b	210610659	released
f18c6502-21a6-486f-b9a8-53ffd186ae0a	TCGA-29-1705-01A-01-TS1.b4cec7c6-267d-4b63-bb60-1e9b618ea03e.svs	68fafbee2b0bcb103c41d6f1c530a92f	245140625	released
790aa89d-b21f-4a70-8fce-c98559c201f7	TCGA-25-1626-01A-01-TS1.84f55106-8f41-49e6-b9e5-2c70a99aaeef.svs	47811a3a1f2f1c665455896327dfe769	126012557	released
8cb811d7-b583-44c5-b49c-2d3f11cb5449	TCGA-24-1924-01A-01-TS1.fba40711-32d3-4959-96d3-fcbe4bf6021f.svs	7a2b19c23dead8b392c404577e38b9e0	63452889	released
188e0a4c-e771-41fe-88b2-881a19005113	TCGA-29-1698-01A-01-TS1.e59554f2-0729-4985-ac95-a8d46f3f7fcd.svs	c62bb886b114ddfe9d67d37303062829	172875865	released
304903dc-e560-466e-84de-c794e37cc1f6	TCGA-30-1892-01A-01-TS1.65549f07-9148-43b5-8c8c-94d17148a918.svs	79d5b13125130df35063040cd281d8c6	59289365	released
2052cd4e-14da-4f3e-8948-7addc08204ed	TCGA-10-0931-01A-01-TS1.f6dbb223-2348-40fe-8da2-e93c3071d823.svs	95a22021224f511458a156dbfb2f0e36	57186197	released
7d1f94ed-f7d9-4294-aea1-50c71c215c9d	TCGA-61-2000-01A-01-TS1.1ae6e2bd-7e0d-42e1-a0f3-c13499f536a6.svs	0b18d0173d69ada71f7660f14e163ae7	104916535	released
7bb0ab25-98c3-4b30-ba9b-6c5c2bd26126	TCGA-23-1028-01A-01-TS1.56dde40f-224a-49a7-a24c-9fc8b44e0a66.svs	6db7eb999552efe0c204c8aa8e81da42	87700837	released
50c43ca5-ae8c-43f8-994e-82e2dd5d39da	TCGA-24-2033-01A-01-TS1.88804778-148e-4bc9-9ea2-958f6e212d0c.svs	bc97fcb7be40976a9e525c824b24f953	157124701	released
f8af4b61-bc9b-4f5f-8514-a3f46c53e46a	TCGA-13-0791-01A-01-TS1.017e80af-092b-47ec-959d-ee2c5f50caa4.svs	3c65f6f64870f8bff569cd74f78b85a0	204733985	released
b30f1050-8b82-4343-94e8-409950c798b1	TCGA-29-1702-01A-01-TS1.d7ec5a33-2840-4e3b-a587-272f42e1ffc9.svs	4094f316c6a8cf083183d65634f9b99a	177158243	released
82da9afe-e398-41a7-86c5-70b5f7eb2e09	TCGA-61-2110-01A-01-TS1.657eac90-dffd-4a49-815e-751d197a315e.svs	e45d9281b5e0f6934b1549dfd0a82eab	70207679	released
