0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
-2.609875,1.479,1.3635,0.6285,0.858375,0.4955,-2.624125,0.6765,4.404,0.81125,2.065,-2.34725,0.9284,-2.554,-0.835583333333333,0.7355,2.6915,-2.169,-0.777,-0.888125,-3.75425,-0.161166666666667,3.04875,0.548,-1.6575,2.69933333333333,3.627,-2.7495,-0.64525,2.8695,2.149,-0.619,0.0206666666666667,-0.517,-0.59175,-0.137,-1.813,-2.6612,-0.087,2.166,-1.18,1.2982,-0.241166666666667,-1.73275,-1.96266666666667,2.83775,-0.8525,1.11066666666667,0.657375,0.230166666666667,2.58625,-1.381,-0.011375,-0.115,-2.49366666666667,-1.53385714285714,-0.2405,-2.029,-2.75270833333333,0.35,0.20625,2.47783333333333,2.74775,-4.12525,-3.833,-2.46983333333333,-2.709,0.62975,1.948,-2.76833333333333,0.454,-1.36225,0.83025,0.4495,-1.1,-3.324,-4.06125,5.1225,-3.5995,0.6065,0.903166666666667,2.064,-1.27475,2.19325,1.5115,-1.30375,-0.0735,1.64825,0.79825,-3.3365,1.37125,-2.8825,-6.38566666666667,-1.57966666666667,-0.59325,-0.27025,0.906125,-2.3112,-3.09625,0.276,0.490375,0.6475,-3.9795,1.82525,-4.9095,3.8115,-0.86725,1.71375,-0.33675,2.44125,0.636166666666667,2.90875,0.9675,-1.28425,-3.6785,0.156,-4.14925,5.8495,1.317125,-0.790444444444444,2.62275,-5.559,-0.85825,-1.55925,1.02025,-0.725181818181818,2.699,-3.00425,0.743,1.39433333333333,0.00925,-4.2835,-0.617833333333333,1.2565,0.454166666666667,3.07375,-0.45375,2.31216666666667,0.277166666666667,-1.3065,1.5978,1.42116666666667,-1.235875,2.32525,3.87083333333333,-0.0940666666666667,-0.372833333333333,0.340125,1.54316666666667,1.496125,-1.8575,0.135,-2.321,1.8277,-1.2755,1.77633333333333,1.8951,-5.71725,1.0658,2.7755,0.1207,-0.83825,4.1983,-3.27975,-0.65075,2.84675,0.384,-1.16016666666667,2.3475,-5.925,0.6664,1.073,-0.862583333333333,3.5545,0.332,-1.74852173913043,-3.43933333333333,1.69916666666667,-2.291,-0.18,3.7382,-6.5895,-4.38225,1.64716666666667,1.50266666666667,1.98075,1.5325,-0.7535,-1.747875,-1.672375,-0.74775,0.6605,-5.75166666666667,-0.2755,-0.95425,-2.751,-1.52525,2.41475,1.505375,2.11775,3.03825,-1.98625,-2.343,0.17475,1.03466666666667,0.139833333333333,5.17775,-0.928,4.05083333333333,3.9885,-0.080125,0.44875,-1.44866666666667,0.6028,-2.70766666666667,-0.7235,4.26533333333333,-0.15625,1.9133,-0.9635,0.05675,-0.121,-0.371,3.1615,-5.0814,-1.208,-2.92525
0.3345,0.5285,-0.3545,2.46,-0.761125,2.366,1.177375,2.24275,4.891,0.7695,2.5275,-1.1245,0.1473,-1.2255,0.20725,1.673,-0.441166666666667,-3.25375,0.277333333333333,0.065125,-2.54725,1.44166666666667,2.10425,-3.97633333333333,-2.40575,1.47666666666667,3.00783333333333,-1.3835,0.6175,2.88833333333333,-0.4585,0.4795,-1.87266666666667,0.687,0.38275,-0.69775,2.2495,-2.1946,-1.78575,-0.561,-2.645,-0.2475,-0.795333333333333,0.43225,-0.257333333333333,3.39425,0.6185,0.5095,2.08725,2.33466666666667,1.34025,-0.411875,0.289375,5.8635,-1.32466666666667,1.98128571428571,-0.925666666666667,-0.35625,0.90724,2.3635,1.35925,2.16166666666667,1.0955,-3.23325,-3.1755,-1.37533333333333,0.125,2.044,0.56975,-3.63266666666667,3.049,0.310125,-2.6665,0.3855,0.41125,-2.22125,-3.5625,0.059,-1.7465,-3.9185,3.4705,0.266833333333333,0.10025,0.18975,0.346333333333333,-1.303375,1.7555,-1.70875,-0.151,-1.711125,-1.43025,-1.097,-0.094,-1.51183333333333,0.4815,0.42725,1.82275,-1.6974,0.3635,2.23,6.276375,2.20175,-0.37,-0.716125,-3.90525,3.167,-3.7575,-0.10325,0.53825,3.4565,-0.539,2.4415,1.32775,0.8035,-0.1925,-0.46975,1.607,2.35216666666667,0.64175,-1.84666666666667,-2.07975,-4.71875,-2.1915,-0.82625,-2.284,2.22586363636364,2.0275,-0.59875,1.2325,-0.6605,-1.630625,-3.92125,-0.264833333333333,1.166,1.51466666666667,0.77825,1.662,-0.4225,0.763833333333333,0.286,0.9107,1.95083333333333,-0.86925,2.480375,3.462,-2.46173333333333,1.6185,0.4925,0.598666666666667,-0.332125,-0.53525,0.338,-3.1655,2.0602,0.2505,-1.0315,1.396,-2.161,0.9586,0.278,0.0467,-1.25225,2.516,-2.41075,1.29325,1.354,1.05,-0.229833333333333,2.13725,-3.39266666666667,1.2124,0.02175,-1.14808333333333,0.1135,-0.2955,0.844782608695652,0.9915,0.0735,-0.3015,0.547,2.2423,-5.446375,-2.32225,1.082,0.00216666666666668,0.572,1.588,-1.115,0.092625,0.18875,-0.191125,1.8735,-4.83,0.46,0.082,-1.917,-1.09025,1.035125,1.0375,0.6255,-1.37525,-1.2775,-0.0015,1.34775,0.0696666666666667,2.57591666666667,1.36025,0.21425,2.92066666666667,2.33225,-0.08575,-0.678166666666667,2.05833333333333,-0.1195,-1.60266666666667,-0.317,2.79666666666667,1.563,2.7137,0.284,1.14825,0.43475,-0.15625,-1.19225,-2.78,-1.3575,-1.352375
-0.93025,0.5725,-0.5155,-0.1305,-0.719625,5.92,-2.53014285714286,-0.20225,7.15425,0.305,0.726833333333333,-0.3615,0.3934,0.226,-0.135333333333333,1.089,0.0526666666666666,-3.785,1.71016666666667,-1.41675,-0.5025,0.8295,3.35075,-4.93783333333333,-4.4725,2.87883333333333,4.65383333333333,-0.93175,2.09775,1.22616666666667,-1.6275,3.558,-0.978083333333333,0.305375,2.789625,-1.535,4.6965,-1.6981,-0.92225,3.09383333333333,-1.072,-0.0211,0.155666666666667,0.54775,0.638,2.71875,-1.13216666666667,0.966833333333333,1.622375,0.231833333333333,1.7885,0.195125,1.639875,1.77025,-0.867666666666667,1.38107142857143,0.2565,-0.75825,0.1308,-0.2835,-0.57075,1.99583333333333,4.95775,-2.39975,-3.3015,-1.18316666666667,0.1385,0.9835,-1.69025,-1.129,-0.398,-1.191375,-3.63525,1.254,-0.6075,-2.41,-2.867,0.151,-2.51125,-1.8565,3.374,0.723333333333333,0.6285,3.23675,-0.215666666666667,-0.249375,0.45025,0.29975,-1.939,-2.103,-2.007,0.655333333333333,-2.27366666666667,-1.9095,-1.83425,1.1225,1.828625,-3.404,-1.4655,-0.0605,3.514625,0.83175,-1.985,1.243875,-3.097,0.3565,2.6425,-0.2305,0.47175,4.93175,-0.945333333333333,-1.64475,1.06475,-0.1775,0.528,-0.40475,-0.59625,5.01416666666667,0.492125,-1.83155555555556,3.94375,-3.1765,-0.07375,-1.08275,-1.76925,1.75368181818182,2.80475,-1.44125,1.65033333333333,-0.133833333333333,-2.59925,-4.09325,3.3585,1.22925,2.65383333333333,2.99475,1.7575,-2.67533333333333,0.188,0.8115,2.0808,1.636,1.44925,3.456625,3.90666666666667,-2.92486666666667,0.419166666666667,0.707875,0.459333333333333,1.37325,1.28425,1.3085,1.9755,3.1346,-0.2335,0.018,5.2043,-3.061,1.7759,3.08866666666667,0.2524,-1.09225,4.3251,-1.46725,6.10075,-0.235625,0.4635,-0.927333333333333,0.80325,-1.46583333333333,1.7065,-1.76625,-0.63575,1.3745,4.08725,-0.211565217391304,-1.96716666666667,-0.438333333333333,-0.1283,2.795375,0.9697,-6.243,-3.3065,1.0345,-0.939166666666667,-0.517,1.44325,-0.2,0.053625,-0.393125,1.412375,1.33525,-6.0045,1.24666666666667,0.75725,-2.49525,0.81425,4.0445,3.271375,1.65225,0.99375,-1.8705,0.117,-0.132,-0.773166666666667,0.852416666666667,2.3195,3.79,5.76083333333333,2.04125,2.41,1.93408333333333,-0.5815,-2.1254,-2.46216666666667,3.05825,1.72133333333333,2.80425,-0.2077,0.7325,1.4335,0.00425,0.033,2.23175,-1.9355,-1.33575,-0.830625
0.6745,4.225,0.1185,-1.148,-0.29125,0.1145,-1.7855,0.95425,4.774,0.28575,0.368333333333333,-1.56775,-0.7258,-0.4685,-0.11175,0.5725,1.161,1.2595,3.19033333333333,-1.133375,-2.37575,-0.019,0.80325,-4.2385,-2.898,-0.0273333333333333,1.53316666666667,-1.5105,0.83275,1.96416666666667,-1.6015,0.9095,-1.34225,-0.501625,2.603875,0.399,1.33925,-2.7293,-0.65275,0.307,-1.7515,2.3482,-0.186333333333333,-0.17725,-0.505666666666667,2.9445,-1.87883333333333,1.15766666666667,0.901625,-1.1275,0.861,-0.380875,0.405875,2.2315,-1.72583333333333,1.39814285714286,0.424666666666667,-0.8955,-0.42864,-1.1695,-1.495,1.99916666666667,3.69175,-3.41025,-3.08775,-2.25366666666667,-0.886,0.4685,-0.9885,-1.01583333333333,-1.7655,-1.911,-1.70525,0.7635,-0.893,-1.864,-3.7845,5.616,-1.3985,-2.06325,3.86966666666667,-0.158,-0.311,0.3515,0.419333333333333,0.662625,0.02325,3.1155,-1.22325,-1.8105,-1.63725,-0.810333333333333,-2.61133333333333,0.426,-1.68,-0.10225,0.555875,-2.8578,-1.492,-0.844,0.3085,2.16975,-2.7185,-1.54175,-3.06075,3.75925,0.6405,1.6175,0.244,6.16925,0.773333333333333,-0.70225,1.341,-0.3725,-1.0595,-0.9255,-2.1265,3.73716666666667,2.661625,-0.0154444444444444,-1.801,-5.4325,-2.1305,-1.54775,-0.35175,1.79613636363636,1.21925,-1.22525,0.996833333333333,0.203333333333333,-4.120875,-4.593,1.59183333333333,0.789,0.737833333333333,2.534,3.35925,-0.961833333333333,0.188166666666667,-1.4585,0.1256,0.658,3.246875,1.65225,3.644,-2.76126666666667,0.105833333333333,-0.55325,2.3565,1.000375,-0.3585,1.5795,2.124,2.0786,2.0205,2.96166666666667,0.9397,-4.371875,1.601,0.0616666666666667,-1.878,-1.73825,2.2326,-1.53375,3.9145,1.761625,0.7375,-1.382,-0.33175,-4.43966666666667,0.754,-0.37275,0.159583333333333,0.4955,1.31375,0.152173913043478,5.35583333333333,-0.7755,-0.0142,1.437,-2.1589,-6.067625,-1.7035,0.640166666666667,-0.186,-0.11825,4.2325,-0.919,-1.146125,-2.77275,0.08825,-1.02325,-4.812,0.0895,-1.536,-2.471,2.6335,3.341875,0.406375,1.612,1.84125,-2.26525,-0.9465,-0.0065,-1.75083333333333,1.2755,2.16425,1.5575,1.21666666666667,2.03725,-0.59775,0.920916666666666,-0.830666666666667,-1.3518,-0.490166666666667,-0.289,1.91016666666667,1.593,0.1597,-0.033,1.73175,0.55775,-1.097,-0.611,-2.53833333333333,-1.2585,-0.354125
-0.376,3.1655,-0.7445,-1.274,0.398625,2.98,-0.159625,0.17725,6.61325,-0.052,0.638333333333333,-2.119,0.1963,0.7505,-0.8375,0.4015,-0.00850000000000003,-3.2485,1.67216666666667,-0.585375,-0.8695,-0.0248333333333333,4.1965,-6.59666666666667,-1.83525,1.89383333333333,3.86766666666667,1.70325,4.03675,2.72366666666667,-1.9305,5.05,-0.653333333333333,0.035875,2.0475,-0.1815,2.678,-1.5367,-1.904,-1.82,-1.271,2.4965,1.82133333333333,-1.43025,-0.367166666666667,1.44575,-0.3045,2.5565,1.024625,-0.185666666666667,2.69925,1.95125,1.044375,2.08575,-2.013,2.06221428571429,-0.362833333333333,-1.56275,0.19112,-1.7325,-1.67075,3.4125,4.15175,-0.16375,-2.9785,-2.901,-1.8235,1.39475,2.2345,-1.5515,-0.6465,-1.0785,-3.5705,-0.1475,-0.1475,-1.361,-4.568,4.109,-0.914,0.19375,3.34766666666667,0.7215,0.24875,2.3505,0.686,0.497375,1.4675,3.48675,-0.0635,-1.1405,-0.39575,-1.80066666666667,-2.957,-0.1,0.2995,-0.21225,2.991875,-2.5449,-0.4605,-0.647,-0.705,0.35675,-0.9235,-1.383625,-2.005,2.6775,1.6155,0.14775,0.22775,4.66625,0.735333333333333,1.73225,1.31525,0.4475,-0.2545,-0.43375,-2.69175,3.42616666666667,0.90025,-0.869444444444444,0.56925,-5.864,-1.83975,-0.76775,-1.0885,2.20109090909091,2.17075,-0.94775,0.947,0.978833333333334,-4.40625,-4.64375,3.589,1.2095,1.40233333333333,2.39725,3.14525,-0.607333333333333,1.44583333333333,0.3855,1.8506,0.313666666666667,2.52925,1.48,2.97816666666667,-2.5024,1.53533333333333,-0.2085,1.68466666666667,1.177375,-0.41975,-0.16,0.4785,1.7437,1.1405,1.45133333333333,2.491,-0.356625,0.5387,1.45266666666667,-1.282,-1.52725,3.9487,-2.4805,3.49575,-0.832428571428571,-0.888,-0.743333333333333,1.64025,-0.229666666666667,0.0384,0.68325,0.165833333333333,-0.5645,4.89275,1.01308695652174,-0.203,0.2555,1.0483,3.604625,-2.9397,-6.515625,-2.11275,0.637666666666667,-0.899333333333333,-0.678,1.3375,0.144,-0.919875,-1.326875,0.608,0.296,-4.747,1.8005,0.81775,-3.259,2.38675,2.1405,3.066375,2.0305,1.23175,-0.97725,-1.8015,1.48125,0.408666666666667,-0.036,3.254,0.305,2.404,0.878,2.323875,1.39358333333333,-1.28133333333333,1.7119,-2.65033333333333,-0.30375,1.192,1.9265,1.4888,-0.13875,0.8045,0.43375,-0.73725,0.64175,-0.5135,-1.40325,-0.211625
2.077625,2.28025,-1.175,0.985,0.43575,4.8825,-0.4695,0.6565,8.00775,1.25075,0.993,-0.505,-0.92,-1.1045,-0.520333333333333,-0.3895,-0.1625,-3.4465,3.2545,-0.68025,1.02575,1.78233333333333,3.34775,-7.217,-2.53025,1.13683333333333,6.37616666666667,1.06375,4.67175,1.76916666666667,-2.708,4.92,0.891916666666667,0.83425,3.173125,-3.49275,3.4975,-1.9985,-2.91575,-1.2725,0.3245,2.0958,1.77783333333333,2.39925,0.7015,3.12625,1.64733333333333,-0.572,1.972375,0.2115,1.00075,0.981,0.288,1.1095,-1.58866666666667,2.72571428571429,0.795166666666667,-0.44925,-2.14768,0.8555,-0.512,1.817,5.09675,-0.597,-3.94675,-2.11716666666667,-1.912,1.5435,-0.93925,-0.994,0.06,-1.38675,-3.742,2.3035,-0.05425,-1.07,-4.42975,5.8115,-1.6125,-0.20775,1.02166666666667,2.60766666666667,-0.647,3.00575,-0.114,-2.693875,2.941,0.37925,-1.7695,-2.128,-1.53625,2.11133333333333,-3.4295,0.841166666666667,-0.40175,-0.14325,1.44525,-3.6046,-2.816,0.4465,2.358625,0.7315,-2.887,-2.627125,-4.04975,0.29925,-3.71875,-0.92775,-0.03575,3.40025,0.4395,-2.14875,2.00325,-0.54,-2.2535,0.964,-3.39875,4.54866666666667,1.808125,-0.826666666666667,2.70975,-5.364,-0.7605,1.08675,0.68825,2.52281818181818,0.07975,-1.5865,-0.343333333333333,0.791666666666667,-2.45275,-3.46025,3.7875,0.3385,2.56766666666667,3.17475,0.32775,-1.68266666666667,2.14316666666667,-0.718,2.8571,2.06933333333333,3.307625,1.265625,4.00366666666667,-2.95733333333333,2.01983333333333,0.465,2.62083333333333,0.1015,-1.85575,0.9625,-3.9585,4.0691,0.01475,3.29733333333333,3.7635,-2.46625,0.8438,0.9645,-0.8399,0.43925,4.7965,-2.6815,5.2305,0.111571428571429,1.022,-2.839,0.48075,-4.43133333333333,1.1659,-0.03575,0.438333333333333,-0.214,5.25225,-1.07130434782609,-1.7375,-0.385,0.9284,4.27975,-2.1948,-6.270625,-3.9225,1.04833333333333,-1.1445,4.28775,3.916,1.35,3.62,-1.666125,1.05725,-0.0495,-5.391,1.886,-1.645,-2.42025,0.15975,0.15975,4.4795,2.15025,-1.92575,-3.05275,-1.342,1.005,0.0346666666666667,1.25025,2.70525,1.2035,3.41333333333333,4.3125,2.777125,0.751083333333333,-2.053,-0.5587,-1.729,0.842,4.0545,1.6025,-1.0957,-0.229,3.91425,0.97025,0.012,3.0905,-0.387,-0.80625,-1.736375
1.822125,0.3805,-1.3365,-0.7235,-0.5145,0.862,-1.299875,0.1765,4.16625,0.18625,0.357166666666667,-2.29375,-0.2222,-0.235,0.100583333333333,0.3355,0.6305,-3.7325,-0.3675,-0.476125,-1.46575,0.213833333333333,0.07575,-5.3975,-2.986,0.113666666666667,1.54516666666667,-0.0435,0.856,2.32233333333333,-0.6595,1.6955,-1.05658333333333,0.6075,3.428875,-0.24975,2.15325,-0.7225,0.38475,-0.4335,-1.6035,0.201,1.12366666666667,-0.30925,0.568,0.335,-0.532333333333333,0.620666666666667,1.1315,0.296666666666667,1.34025,-0.273125,0.32575,0.90825,-2.56783333333333,1.89928571428571,0.2405,-1.499,-0.72544,-0.5745,-1.98975,1.28216666666667,3.516,-2.1845,-2.5045,-1.366,-0.51,0.65225,-0.0545,-1.39266666666667,-0.208,-2.043375,-1.4175,-0.1145,0.20075,-1.93,-3.0855,0.88,-1.66075,-0.334,1.157,0.131166666666667,0.3345,1.77025,-0.655666666666667,-2.08725,0.003,0.95375,-1.24025,-1.31475,-1.24675,-0.000166666666666667,-3.94966666666667,-0.0938333333333333,0.486,0.19925,0.188375,-2.1091,-1.3655,-1.0145,1.645625,0.4995,-1.028,-1.2205,-3.14225,1.174,-1.51125,0.39225,0.25575,1.41275,0.394833333333333,-1.2865,0.47275,0.33175,-0.135,-0.10925,-2.998,4.0555,0.835375,-1.568,0.776,-3.85325,-1.10625,0.225,-0.39425,0.851090909090909,0.80075,-2.25525,0.711833333333333,-0.8405,-3.4095,-2.74175,0.902666666666667,0.958,0.7445,0.56875,1.2895,-1.01216666666667,0.527833333333333,0.188,1.3068,1.38283333333333,1.12,1.740625,2.65566666666667,-1.83873333333333,1.94366666666667,-0.328875,2.91733333333333,0.37375,0.38225,0.471,-2.6495,2.5324,-0.38875,-0.0188333333333333,0.9547,-2.503375,-0.0669,1.45983333333333,0.0369,-0.37825,4.2612,-1.0135,2.29275,-0.640875,-0.284,-1.75133333333333,0.94475,-0.991166666666667,0.6236,0.18,-0.114166666666667,-0.38,2.341,0.48795652173913,-2.62683333333333,0.744333333333333,-0.177,1.611375,-1.3612,-5.8005,-3.82475,0.9385,-0.491833333333333,0.024,0.723,-0.9625,0.224125,-0.41375,0.262625,0.6435,-3.80916666666667,0.6655,-0.338,-0.68325,0.90925,0.61,0.647875,0.56525,-1.25725,0.602,-0.175,0.40275,1.26266666666667,0.441416666666667,1.66,-1.5565,2.737,0.87575,1.931,0.935166666666667,-1.14666666666667,-0.2225,-0.0991666666666666,0.271,1.68466666666667,0.85825,0.0593,-0.89575,-0.32625,0.33675,-0.20875,1.857,-1.316,-1.03075,-0.262125
-2.341,1.177,-0.022,1.476,-1.026875,0.43,-1.067375,0.13575,6.62225,3.38375,1.68133333333333,-0.654,-1.4059,0.0225,-1.88058333333333,1.013,0.598,0.9855,3.65683333333333,-1.4885,-3.11275,1.02116666666667,3.79375,-3.71983333333333,-3.5565,0.689333333333333,4.17683333333333,-1.121,1.501,1.536,-1.363,1.2965,-1.9625,1.096875,1.630875,0.0175,3.39375,-2.3972,-0.55075,0.0128333333333333,-2.6125,2.0357,-1.73916666666667,1.27125,-0.6765,0.07975,-0.505333333333333,1.72683333333333,1.956625,1.12716666666667,1.05125,-0.63025,0.94625,5.0645,-0.203833333333333,1.70992857142857,1.22033333333333,-1.647,0.9766,1.8175,-0.9635,3.82633333333333,3.62975,-3.35,-3.526,-2.0115,-0.219,-1.01125,-0.8835,-0.695333333333333,0.174,-2.20375,-2.18925,-0.3475,1.056,-0.19525,-3.563,3.27,-2.8555,0.63875,3.92933333333333,0.2695,-0.449,1.014,-0.767,0.2235,2.8115,3.09625,-1.69775,-0.059375,-1.68625,-0.942,-3.1045,-0.825,-1.5085,0.0415,2.95325,-2.8385,-1.416,1.06,1.168125,3.561,-2.1695,-1.449375,-3.02175,1.791,-4.05875,0.4955,-0.106,5.0315,0.2875,3.4225,2.918,-0.44625,-0.9925,-0.03575,-2.4895,5.43516666666667,3.4945,-0.289111111111111,-1.624,-4.5995,-0.89475,-0.3535,-1.65525,2.35286363636364,0.47075,-0.67375,0.450833333333333,-0.7935,-3.5285,-4.0285,1.96016666666667,-0.196,1.01233333333333,2.018,3.9,-2.7265,0.250333333333333,-1.66,1.2626,1.38316666666667,1.735,2.971875,4.02183333333333,-2.628,1.55933333333333,-1.629875,2.3185,-0.846,2.85375,2.3005,-4.104,0.9757,1.57925,0.127666666666667,2.7964,-4.02925,1.5912,0.535166666666667,-1.4062,-2.538,3.0755,-2.42925,5.92225,1.145625,2.137,-2.22016666666667,-1.42825,-0.8105,0.5881,0.377,0.368166666666667,-0.312,2.778,0.31204347826087,1.1285,-0.707333333333333,1.266,1.66428571428571,-2.6282,-5.802,-3.313,0.75,-1.21766666666667,0.08575,1.321,1.0915,-1.409375,1.04425,2.688,-0.43725,-4.77166666666667,1.25383333333333,0.54075,-2.68025,-0.6775,0.269625,4.870375,1.0375,1.56125,-3.4805,-1.004,0.46625,-2.13966666666667,1.596,2.783,0.80275,2.82133333333333,1.03225,0.527875,1.03883333333333,-1.31883333333333,1.4788,-2.392,0.20075,3.26516666666667,3.08425,0.3312,0.826,-1.1815,0.30425,-1.06325,0.59575,-2.16633333333333,-2.00275,-1.501875
-0.07,0.808,-0.7175,-0.113,-0.395125,1.3055,-2.6185,0.224,8.018,1.04325,1.89516666666667,-0.58775,1.1049,-1.8885,-0.729083333333333,-0.3245,1.73216666666667,-2.44425,0.326333333333333,-0.073125,-1.449,-1.45233333333333,2.02525,-6.11383333333333,-3.1565,-1.91133333333333,3.8575,-1.058,0.589,1.03233333333333,-1.082,0.3995,-2.58733333333333,0.575875,0.7895,-2.23275,4.40775,-2.0914,-1.363,-1.38116666666667,-1.292,0.7925,3.05383333333333,-0.1675,0.0261666666666667,3.261,0.851,-1.74466666666667,-0.31675,-0.0293333333333333,0.677,-0.14825,-0.358142857142857,-0.0825,0.145833333333333,1.10764285714286,-0.0426666666666667,-1.00725,-1.31836,-0.2345,-0.422,1.23216666666667,2.47175,-3.52875,-3.429,-1.92816666666667,0.264,1.2945,-0.15125,-0.948,0.1015,-1.555125,-4.0255,0.1155,1.74775,-0.56475,-3.93325,1.8605,-1.80525,-4.09225,1.0945,1.60383333333333,-1.662,2.7085,-0.529833333333333,-0.827,2.0055,-0.87975,-0.5215,-2.63175,-0.92675,-0.8675,-2.8065,-0.173833333333333,-1.5435,0.27475,0.47875,-3.5027,-2.744,0.0555,0.828625,0.068,-4.182,-3.046625,-6.123,3.2955,-4.87225,-0.12375,0.1,1.87975,0.438166666666667,-1.129,-0.1095,-1.238,-0.4235,-1.14025,-3.69975,3.69566666666667,2.09375,-0.976888888888889,1.8955,-5.01775,-1.9835,0.1035,-1.87975,0.447727272727273,2.2455,-1.75425,1.37516666666667,-1.66566666666667,-3.00025,-3.936,0.0775,0.5665,1.933,1.65575,-0.65575,-1.18733333333333,0.1205,0.6505,1.7571,1.70766666666667,2.20775,-0.181625,3.91383333333333,-2.12253333333333,-0.116833333333333,1.45175,0.417333333333333,2.8625,-1.03775,0.54,-3.56,1.3861,-0.75425,0.944,4.0206,-3.043875,0.821,2.055,-0.2077,-0.9325,4.5747,-2.63625,1.72575,0.30725,0.14,-2.619,1.743,-4.867,1.244,-0.4865,2.06,0.4475,0.18775,-1.36082608695652,0.1,0.297833333333333,-1.1102,-0.116375,2.2507,-5.669625,-4.3635,1.30483333333333,-0.972,1.14325,4.1485,0.156,1.9915,-0.864875,0.323625,-0.0765,-3.872,1.64133333333333,-0.3855,-2.078,0.42025,0.48625,1.69025,1.87325,-0.72525,-0.95325,-0.87,-0.05725,-1.72916666666667,1.68558333333333,2.26625,-0.7275,0.6895,2.82525,1.7545,-0.725833333333333,-0.802333333333333,0.1059,-1.13466666666667,0.92075,3.88816666666667,1.20025,-0.1278,-0.4065,2.526,-0.211,-1.53875,2.033,-2.94283333333333,-1.76525,-2.24375
-0.5195,0.591,-0.79,-0.285,0.270125,2.304,-1.065375,0.67925,7.55425,-0.24925,2.67016666666667,-1.87375,-0.2099,-1.1355,-0.265666666666667,1.448,1.54483333333333,-4.96475,3.59633333333333,-1.94125,-1.92925,1.06866666666667,1.33775,-6.632,-4.045,2.26266666666667,4.33183333333333,-1.12775,1.76975,1.15816666666667,-1.7875,0.161,0.157,0.451875,2.6825,-0.00874999999999999,4.12825,-2.4995,-2.95125,-1.28683333333333,-1.5215,0.8307,2.4905,-0.13725,-0.212333333333333,4.54375,-1.44266666666667,2.43733333333333,2.605625,0.0546666666666667,0.14525,-0.2035,1.108375,1.1745,-1.10983333333333,1.13985714285714,0.314666666666667,-1.4765,-0.03208,-0.2405,-1.021,1.845,2.574,-3.8035,-4.062,-2.74933333333333,-0.5135,-0.2965,-0.167,-2.31466666666667,0.149,-1.510125,-4.106,-0.366,-1.83525,-3.253,-4.706,0.5025,-2.7365,-3.43325,1.96983333333333,0.642166666666667,-3.27975,4.08525,0.488333333333333,-0.475625,0.322,-2.2835,-1.1175,-2.461,-0.8265,0.329333333333333,-4.2945,-1.85933333333333,-1.4835,1.26075,0.491375,-3.4864,-2.284,-0.0315,5.289125,-0.0075,-4.1335,-2.42925,-4.67025,2.667,-1.93425,-0.031,0.238,1.76325,0.0836666666666667,-1.1105,1.34225,-1.4725,-0.3885,-1.0565,-3.1945,4.4525,0.889625,-2.748,0.53525,-5.43075,-2.40875,-0.97225,-0.641,0.6145,0.6235,-1.129,1.80216666666667,-2.2595,-3.061625,-3.84375,0.670833333333333,0.851,1.3945,2.772,0.3145,-1.82066666666667,-0.0786666666666667,-0.456,1.5621,1.84533333333333,2.56925,2.796,4.42383333333333,-1.42273333333333,0.347666666666667,-1.108375,1.7555,-0.02225,0.5705,0.709,-2.726,1.3505,-1.43725,-0.526833333333333,0.7992,-1.369125,1.6999,1.38616666666667,-1.5398,-2.00675,4.8255,-1.3275,2.92625,-0.009,1.3845,-0.936,0.73125,-4.57533333333333,1.2326,0.98075,-0.910916666666666,0.33,0.64725,-1.07934782608696,-1.58466666666667,1.39933333333333,-1.412,0.26975,0.3815,-6.07125,-0.82225,0.0831666666666667,-0.819,1.07375,3.43025,0.4745,-0.53975,-0.072,-1.01025,1.2055,-3.68666666666667,2.32533333333333,-1.2305,-2.3305,-0.47225,0.576,1.470125,0.94425,0.48275,-1.4095,-2.504,0.20075,-0.660833333333333,2.3755,2.4145,-0.8515,-0.3105,3.4145,1.16325,-0.66975,0.161333333333333,-1.6856,-1.378,2.07675,2.24483333333333,0.2405,0.6224,-0.412,0.74675,0.305,-0.90875,2.13875,-3.07216666666667,-1.46725,-1.713875
